date,usd,eur,gbp,jpy
2010-01-11,0.950000,1.318838,1.387166,
2010-01-12,0.920000,1.312689,1.365631,0.164000
2010-01-13,0.970000,1.315575,1.396675,0.164000
2010-01-14,0.940000,1.303789,1.417385,0.159000
2010-01-15,0.890000,1.261060,1.401168,0.155000
2010-01-18,,1.282257,1.406284,0.160000
2010-01-19,0.930000,1.305395,1.495963,0.160000
2010-01-20,0.920000,1.279148,1.506397,0.161000
2010-01-21,0.870000,1.280030,1.409652,0.161000
2010-01-22,0.840000,1.215070,1.423098,0.161000
2010-01-25,0.860000,1.239939,1.408155,0.162000
2010-01-26,0.870000,1.231759,1.370020,0.157000
2010-01-27,0.900000,1.235826,1.377769,0.156000
2010-01-28,0.870000,1.247513,1.454401,0.155000
2010-01-29,0.820000,1.247836,1.427394,0.155000
2010-02-01,0.860000,1.258908,1.402787,0.155000
2010-02-02,0.860000,1.289538,1.383021,0.155000
2010-02-03,0.880000,1.303167,1.372637,0.155000
2010-02-04,0.800000,1.288194,1.349725,0.155000
2010-02-05,0.770000,1.245853,1.326227,0.155000
2010-02-08,0.790000,1.197433,1.388153,0.155000
2010-02-09,0.840000,1.200920,1.391449,0.155000
2010-02-10,0.910000,1.198496,1.308190,0.154000
2010-02-11,0.910000,1.228504,1.370963,
2010-02-12,0.840000,1.181848,1.352314,0.154000
2010-02-15,,1.179998,1.377583,0.160000
2010-02-16,0.820000,1.187939,1.350556,0.160000
2010-02-17,0.870000,1.144834,1.347094,0.155000
2010-02-18,0.900000,1.145558,1.335362,0.155000
2010-02-19,0.950000,1.180797,1.356268,0.155000
2010-02-22,0.910000,1.175468,1.348898,0.156000
2010-02-23,0.870000,1.080315,1.308285,0.156000
2010-02-24,0.870000,1.094977,1.261054,0.156000
2010-02-25,0.820000,1.045815,1.213391,0.155000
2010-02-26,0.810000,1.024754,1.187726,0.155000
2010-03-01,0.800000,1.043001,1.240274,0.155000
2010-03-02,0.800000,1.029466,1.231344,0.155000
2010-03-03,0.820000,1.071948,1.311110,0.155000
2010-03-04,0.860000,1.058626,1.296314,0.145000
2010-03-05,0.910000,1.085261,1.363631,0.140000
2010-03-08,0.900000,1.073018,1.367135,0.140000
2010-03-09,0.890000,1.051178,1.285648,0.140000
2010-03-10,0.920000,1.076512,1.286252,0.140000
2010-03-11,0.970000,1.104037,1.312353,0.140000
2010-03-12,0.970000,1.141223,1.288218,0.140000
2010-03-15,0.960000,1.118983,1.278249,0.145000
2010-03-16,0.930000,1.107689,1.276047,0.145000
2010-03-17,0.950000,1.040737,1.291550,0.145000
2010-03-18,0.980000,1.072961,1.329691,0.145000
2010-03-19,1.020000,1.084867,1.333114,0.145000
2010-03-22,1.010000,1.070457,1.297310,
2010-03-23,1.020000,1.047419,1.273336,0.146000
2010-03-24,1.080000,1.069378,1.287087,0.146000
2010-03-25,1.100000,1.068210,1.278324,0.152000
2010-03-26,1.040000,1.085995,1.281090,0.157000
2010-03-29,1.040000,1.061839,1.258448,0.162000
