"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-11";"KTA";"2J";
"1988-01-11";"KTA";"5J";
"1988-01-11";"KTA";"10J";
"1988-01-11";"KTB";"2J";
"1988-01-11";"KTB";"5J";
"1988-01-11";"KTB";"10J";
"1988-01-11";"PFI";"2J";
"1988-01-11";"PFI";"5J";
"1988-01-11";"PFI";"10J";
"1988-01-11";"GBA";"2J";
"1988-01-11";"GBA";"5J";
"1988-01-11";"GBA";"10J";
"1988-01-11";"GBB";"2J";
"1988-01-11";"GBB";"5J";
"1988-01-11";"GBB";"10J";
"1988-01-11";"GBC";"2J";
"1988-01-11";"GBC";"5J";
"1988-01-11";"GBC";"10J";
"1988-01-11";"IHA";"2J";
"1988-01-11";"IHA";"5J";
"1988-01-11";"IHA";"10J";
"1988-01-11";"IHB";"2J";
"1988-01-11";"IHB";"5J";
"1988-01-11";"IHB";"10J";
"1988-01-12";"CHF";"1J";
"1988-01-12";"CHF";"2J";
"1988-01-12";"CHF";"3J";
"1988-01-12";"CHF";"4J";
"1988-01-12";"CHF";"5J";
"1988-01-12";"CHF";"6J";
"1988-01-12";"CHF";"7J";
"1988-01-12";"CHF";"8J";
"1988-01-12";"CHF";"9J";
"1988-01-12";"CHF";"10J";
"1988-01-12";"CHF";"20J";
"1988-01-12";"CHF";"30J";
"1988-01-12";"EUR";"1J";
"1988-01-12";"EUR";"2J";
"1988-01-12";"EUR";"3J";
"1988-01-12";"EUR";"4J";
"1988-01-12";"EUR";"5J";
"1988-01-12";"EUR";"6J";
"1988-01-12";"EUR";"7J";
"1988-01-12";"EUR";"8J";
"1988-01-12";"EUR";"9J";
"1988-01-12";"EUR";"10J";
"1988-01-12";"EUR";"20J";
"1988-01-12";"EUR";"30J";
"1988-01-12";"KTA";"2J";
"1988-01-12";"KTA";"5J";
"1988-01-12";"KTA";"10J";
"1988-01-12";"KTB";"2J";
"1988-01-12";"KTB";"5J";
"1988-01-12";"KTB";"10J";
"1988-01-12";"PFI";"2J";
"1988-01-12";"PFI";"5J";
"1988-01-12";"PFI";"10J";
"1988-01-12";"GBA";"2J";
"1988-01-12";"GBA";"5J";
