KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-05,1.5043,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-08,1.497,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-09,1.4938,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-10,1.4855,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-11,1.4916,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-12,1.4991,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-15,1.5022,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-16,1.5005,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-17,1.4898,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2010-03-18,1.4821,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
